OFFICIAL_SUBURB,NUM_RES_PROP,MED_LAND_EXTENT/m2,MED_TOT_BLD_AREA/m2,GV2012_VAL,GV2015_VAL
ACACIA PARK,,,,,
ADMIRALS PARK,401,235,111,680000.00,760000.00
ADRIAANSE,378,127,65,400000.00,470000.00
AIRPORT CITY,,,,,
AMANDA GLEN - Bellville,102,1032,310,1680000.00,2000000.00
AMANDA GLEN - Durbanville,233,1054,279,1690000.00,2000000.00
AMANDELRUG,351,984,264,1202000.00,1450000.00
AMANDELSIG,291,752,224,996000.00,1200000.00
ANCHORAGE PARK,400,500,158,880000.00,1000000.00
ANNANDALE,177,589,181,1009000.00,1150000.00
ANNANDALE FARM,,,,,
ANTILLES/CAYMAN BEACH,72,321.5,252,1650000.00,1850000.00
ARAUNA,101,748,273,1110000.00,1300000.00
ASANDA,2752,132,36,93000.00,80000.00
ASLA PARK,,,,,
ATHLONE,2304,426.5,173.5,720000.00,830000.00
ATLANTIS INDUSTRIAL,,,,,
ATLAS GARDENS BUSINESS PARK,,,,,
AUDAS ESTATE,137,1014,229,1300000.00,1600000.00
AURORA,446,1051.5,341,2200000.00,2700000.00
AUSTINVILLE,301,475,181,535000.00,630000.00
AVALON ESTATE,365,315,180,1360000.00,1600000.00
AVON,211,496,167,500000.00,590000.00
AVONDALE,2244,435,118,560000.00,500000.00
AVONWOOD,407,200,86,440000.00,520000.00
BALVENIE,644,368,118.5,460000.00,540000.00
BANTRY BAY,228,691.5,483,11200000.00,14550000.00
BARNET MOLOKWANA CORNER,,,,,
BARONETCY ESTATE,323,828,469,3567000.00,4520000.00
BEACON HILL,543,332,83,236000.00,400000.00
BEACON VALLEY,4512,162,70,282000.00,330000.00
BEACONVALE,8,654,218,825000.00,970000.00
BEL'AIRE,219,916,452,3880000.00,4800000.00
BELGRAVIA,1455,496,163,650000.00,770000.00
BELGRAVIA -BELLVILLE,104,281.5,154.5,855000.00,970000.00
BELHAR EXT 1,327,212,113,464000.00,490000.00
BELHAR EXT 10,292,164,68,240000.00,270000.00
BELHAR EXT 11,300,171,68,241000.00,270000.00
BELHAR EXT 12,483,178,67,241000.00,270000.00
BELHAR EXT 13,542,182,67,241000.00,270000.00
BELHAR EXT 14,264,319,107,439000.00,490000.00
BELHAR EXT 15,47,230,87,242000.00,270000.00
BELHAR EXT 16,412,201.5,68,237000.00,260000.00
BELHAR EXT 17,728,500,210,647500.00,740000.00
BELHAR EXT 18,376,313,80,410500.00,460000.00
BELHAR EXT 19,591,313,93,420000.00,470000.00
BELHAR EXT 2,275,518,176,542000.00,620000.00
BELHAR EXT 20,357,308,73,403000.00,450000.00
BELHAR EXT 21,536,313,82,403000.00,450000.00
BELHAR EXT 22,427,328,85,417000.00,460000.00
BELHAR EXT 23,739,275,69,397000.00,440000.00
BELHAR EXT 3,291,209,106,415000.00,480000.00
BELHAR EXT 4,432,510,165,560500.00,640000.00
BELHAR EXT 5,149,718,277,709000.00,830000.00
BELHAR EXT 6,305,448,134,533000.00,600000.00
BELHAR EXT 7,619,250,121,520000.00,590000.00
BELHAR EXT 8,13,214,109,622000.00,700000.00
BELHAR EXT 9,269,199,76,228000.00,250000.00
BELL GLEN,606,223,77,250000.00,280000.00
BELLAIR,262,744,243,1180000.00,1500000.00
BELLVILLE CBD,9,791,205,930000.00,1250000.00
BELLVILLE LANDFILL,,,,,
BELLVILLE SOUTH,1996,370,125,500000.00,560000.00
BELLVILLE SOUTH INDUSTRIA,,,,,
BELLVILLE TEACHERS COLLEGE,,,,,
BELMONT PARK,1305,496,164,587000.00,670000.00
BELRAIL,116,659.5,169.5,650000.00,720000.00
BELTHORN ESTATE,866,535,200.5,1060000.00,1200000.00
BELVEDERE TYGERBERG,28,801.5,328.5,1400000.00,1725000.00
BENE TOWNSHIP,48,1241.5,344.5,1880000.00,2200000.00
BENNO PARK,46,722,163,749500.00,970000.00
BERBAGO,17,912,229,1440000.00,1700000.00
BERGVLIET,1685,915,259,2175500.00,2700000.00
BETHANIE,157,806,242,1500000.00,1800000.00
BIG BAY,711,600,331,2525000.00,3250000.00
BISHOP LAVIS,3735,285,61,208000.00,280000.00
BISHOPSCOURT,531,2974,440,7600000.00,9600000.00
BIZWENI,453,466,192,1370000.00,1600000.00
BLAAUWBERGSTRAND,738,478,321,3150000.00,3600000.00
BLACKHEATH INDUSTRIA,,,,,
BLOEKOMBOS,4333,156,27,104000.00,115000.00
BLOEMHOF,132,737.5,209,1000000.00,1340000.00
BLOMMENDAL,325,801,242,1300000.00,1600000.00
BLOMTUIN,202,762.5,244,970000.00,1200000.00
BLOMVLEI,43,1005,356,2500000.00,3000000.00
BLOUBERG RISE,331,604,203,1440000.00,1650000.00
BLOUBERG SANDS,829,603,197,1450000.00,1650000.00
BLOUBERGRANT,152,979.5,301,1970000.00,2300000.00
BLUE DOWNS CBD,295,216,47,424000.00,470000.00
BO OAKDALE,256,496,184,890000.00,1050000.00
BONGANI,1,22011,30,660330.00,1020000.00
BONNIE BRAE,919,329,121,632000.00,790000.00
BONNIE BROOK,368,601,196.5,772500.00,950000.00
BONTEHEUWEL,6718,220,66,225000.00,270000.00
BOQUINAR INDUSTRIAL AREA,,,,,
BOSBELL,69,603,241,1160000.00,1400000.00
BOSKLOOF,70,1128,518,3750000.00,5000000.00
BOSONIA,82,981.5,273.5,987000.00,1200000.00
BOSTON,1452,496,210,1090000.00,1300000.00
BOTFONTEIN SMALLHOLDINGS,,,,,
BOTHASIG,3422,595,186,900000.00,1100000.00
BOTTELARY SMALLHOLDINGS 1,,,,,
BOTTELARY SMALLHOLDINGS 2,76,284,148.5,,1424850.00
BRACKEN HEIGHTS,306,700.5,241.5,1080000.00,1250000.00
BRACKENFELL CENTRAL,,,,,
BRACKENFELL COMMON,,,,,
BRACKENFELL INDUSTRIA,,,,,
BRACKENFELL SOUTH,2387,320,139,844000.00,1100000.00
BRAEVIEW,10,1722.5,358,1860000.00,2150000.00
BRANDWACHT,36,275,112,365000.00,405000.00
BRANDWAG,119,1012,286,1157000.00,1400000.00
BRANTWOOD,298,496,183.5,706000.00,870000.00
BRENTWOOD PARK - BLUE DOWNS,290,285.5,76,420000.00,470000.00
BRENTWOOD PARK - Durbanville,38,1066.5,303,1800000.00,2300000.00
BRIDGEBANK,50,1020,251,1299000.00,1450000.00
BRIDGETOWN,1889,300,97,370000.00,470000.00
BRIDGEWATER,43,1003,235,1240000.00,1450000.00
BRIZA,504,1023,285,1750000.00,2100000.00
BROADLANDS,,,,,
BROADLANDS PARK,987,160,20,70000.00,79000.00
BROADLANDS VILLAGE,609,243,58,383000.00,420000.00
BROOKLYN,1519,297,98,540000.00,650000.00
BUH-REIN ESTATE,269,261,131,722000.00,940000.00
BURGUNDY,795,467,176,976000.00,1450000.00
BURGUNDY ESTATE,298,207,146.5,1130000.00,1350000.00
CAMELOT,520,312.5,58,397000.00,450000.00
CAMPS BAY / BAKOVEN,1566,796.5,385,7000000.00,8600000.00
CAPE FARMS - DISTRICT B,18,442.5,211,269000.00,1715000.00
CAPE FARMS - DISTRICT C,57,664,286,2200000.00,2700000.00
CAPE FARMS - DISTRICT H,1,42827,1020,14500000.00,18100000.00
CAPE GATE,34,328,132,886000.00,1237500.00
CAPE TOWN AIRPORT,,,,,
CAPE TOWN CITY CENTRE,68,136,169.5,3600000.00,4300000.00
CAPRI,781,905,216,1380000.00,1650000.00
CAREY PARK,86,195,54,120000.00,130000.00
CARWICK,24,1060.5,215,1300000.00,1450000.00
CASTLE ROCK,25,1102,148,2200000.00,2600000.00
CENTURY CITY,657,331,163,1667000.00,2200000.00
CHANTECLER,130,1042.5,284,1655000.00,2000000.00
CHARLESVILLE,283,405,165,630000.00,730000.00
CHRIS HANI PARK,198,120,34,79000.00,89000.00
CHRIS NISSEN PARK,191,154,30,68000.00,77000.00
CHRISMAR,419,720,228,950000.00,1150000.00
CHURCHILL ESTATE,988,496,190,910000.00,1100000.00
CLAMHALL,217,619,222,950000.00,1120000.00
CLARA ANNA FONTEIN,,,,,
CLAREMONT,4632,494,196,1750000.00,2400000.00
CLARKES ESTATE,564,264,82.5,430000.00,490000.00
CLIFTON,174,469.5,284.5,14600000.00,19050000.00
CLOVELLY,260,688,231,2200000.00,2600000.00
COLORADO PARK,1495,382,142,500000.00,600000.00
CONNAUGHT,972,208,74,410000.00,480000.00
CONSTANTIA,3862,1680.5,389,4450000.00,5400000.00
CPUT,,,,,
CRAVENBY,668,471,179.5,610000.00,720000.00
CRAWFORD,1331,496,201,1100000.00,1340000.00
CROSSROADS,5270,120,39,146000.00,122000.00
CROYDON,104,518,182,546500.00,610000.00
CROYDON OLIVE ESTATE,111,612,278,1218000.00,2630000.00
CROYDON VINEYARD ESTATE,170,780,321,2184500.00,2915000.00
DANARAND,102,268,130,573500.00,650000.00
DE DUIN,163,992,335,1800000.00,2100000.00
DE GRENDEL FARM,,,,,
DE KUILEN,211,496,194,759000.00,950000.00
DE LA HAYE,471,952,273,1100000.00,1300000.00
